연대,단어,품사,언어,빈도수
1990s,서면,ko_nouns,ko,18
1990s,막,ko_nouns,ko,13
1990s,음성,ko_nouns,ko,7
1990s,빗속,ko_nouns,ko,14
1990s,보기,ko_nouns,ko,12
1990s,의심,ko_nouns,ko,17
1990s,동화,ko_nouns,ko,10
1990s,왕자,ko_nouns,ko,4
1990s,로서,ko_nouns,ko,6
1990s,자존심,ko_nouns,ko,21
1990s,상해,ko_nouns,ko,3
1990s,제발,ko_nouns,ko,86
1990s,고민,ko_nouns,ko,26
1990s,안식처,ko_nouns,ko,3
1990s,과거,ko_nouns,ko,23
1990s,그늘,ko_nouns,ko,17
1990s,사람인,ko_nouns,ko,3
1990s,기껏,ko_nouns,ko,2
1990s,수다,ko_nouns,ko,2
1990s,다,ko_nouns,ko,11
1990s,한구석,ko_nouns,ko,9
1990s,단장,ko_nouns,ko,6
1990s,현재,ko_nouns,ko,3
1990s,충실,ko_nouns,ko,2
1990s,눈동자,ko_nouns,ko,10
1990s,공원,ko_nouns,ko,4
1990s,벤치,ko_nouns,ko,6
1990s,곤,ko_nouns,ko,8
1990s,눈가,ko_nouns,ko,14
1990s,주름,ko_nouns,ko,5
1990s,순정,ko_nouns,ko,8
1990s,고생,ko_nouns,ko,7
1990s,생명,ko_nouns,ko,11
1990s,간의,ko_nouns,ko,4
1990s,굿바이,ko_nouns,ko,24
1990s,이해해,ko_nouns,ko,28
1990s,번지,ko_nouns,ko,6
1990s,도시,ko_nouns,ko,12
1990s,여기저기,ko_nouns,ko,1
1990s,문턱,ko_nouns,ko,1
1990s,어디가,ko_nouns,ko,7
1990s,숲,ko_nouns,ko,8
1990s,늪,ko_nouns,ko,10
1990s,빌딩,ko_nouns,ko,7
1990s,허황,ko_nouns,ko,2
1990s,바람따라,ko_nouns,ko,2
1990s,빈틈,ko_nouns,ko,2
1990s,시도,ko_nouns,ko,5
1990s,홑,ko_nouns,ko,4
1990s,이불,ko_nouns,ko,4
1990s,각거리,ko_nouns,ko,4
1990s,조미,ko_nouns,ko,4
1990s,화요일,ko_nouns,ko,4
1990s,빗,ko_nouns,ko,8
1990s,먼저,ko_nouns,ko,43
1990s,변명,ko_nouns,ko,20
1990s,위스키,ko_nouns,ko,1
1990s,브랜디,ko_nouns,ko,1
1990s,블루진,ko_nouns,ko,2
1990s,하이힐,ko_nouns,ko,1
1990s,콜라,ko_nouns,ko,1
1990s,핏자,ko_nouns,ko,1
1990s,발렌타인데이,ko_nouns,ko,1
1990s,목마,ko_nouns,ko,1
1990s,오지,ko_nouns,ko,28
1990s,립스틱,ko_nouns,ko,5
1990s,테이블,ko_nouns,ko,3
1990s,보석,ko_nouns,ko,4
1990s,색깔,ko_nouns,ko,1
1990s,칵테일,ko_nouns,ko,6
1990s,촛불,ko_nouns,ko,16
1990s,피아노,ko_nouns,ko,5
1990s,토론,ko_nouns,ko,1
1990s,취한,ko_nouns,ko,14
1990s,체,ko_nouns,ko,13
1990s,한밤,ko_nouns,ko,4
1990s,재즈,ko_nouns,ko,3
1990s,누굴,ko_nouns,ko,25
1990s,문,ko_nouns,ko,18
1990s,숙녀,ko_nouns,ko,2
1990s,메모,ko_nouns,ko,2
1990s,사연,ko_nouns,ko,7
1990s,초록색,ko_nouns,ko,1
1990s,밤하늘,ko_nouns,ko,9
1990s,스레,ko_nouns,ko,9
1990s,소망,ko_nouns,ko,23
1990s,하나로,ko_nouns,ko,31
1990s,힘껏,ko_nouns,ko,2
1990s,태양도,ko_nouns,ko,1
1990s,날속,ko_nouns,ko,1
1990s,철새,ko_nouns,ko,1
1990s,바랬었,ko_nouns,ko,1
1990s,버려진,ko_nouns,ko,12
1990s,천사처럼,ko_nouns,ko,1
1990s,투유,ko_nouns,ko,7
1990s,편,ko_nouns,ko,2
1990s,실바람,ko_nouns,ko,1
1990s,전하,ko_nouns,ko,4
1990s,어머니,ko_nouns,ko,20
1990s,쇠,ko_nouns,ko,1
1990s,젊음,ko_nouns,ko,9
1990s,뜬눈,ko_nouns,ko,1
1990s,노동,ko_nouns,ko,1
1990s,반짝,ko_nouns,ko,7
1990s,글피,ko_nouns,ko,2
1990s,무화과,ko_nouns,ko,4
1990s,둘이서,ko_nouns,ko,14
1990s,뚝,ko_nouns,ko,1
1990s,부정,ko_nouns,ko,2
1990s,고서,ko_nouns,ko,6
1990s,정다운,ko_nouns,ko,2
1990s,맺힌,ko_nouns,ko,5
1990s,차창,ko_nouns,ko,2
1990s,절망,ko_nouns,ko,13
1990s,흐느끼,ko_nouns,ko,1
1990s,가신,ko_nouns,ko,2
1990s,땅,ko_nouns,ko,20
1990s,산천,ko_nouns,ko,2
1990s,횃불,ko_nouns,ko,1
1990s,북,ko_nouns,ko,1
1990s,함성,ko_nouns,ko,5
1990s,첫,ko_nouns,ko,10
1990s,마을,ko_nouns,ko,4
1990s,땅끝,ko_nouns,ko,2
1990s,집터,ko_nouns,ko,1
1990s,뜰,ko_nouns,ko,1
1990s,평화,ko_nouns,ko,4
1990s,움추린,ko_nouns,ko,3
1990s,춤,ko_nouns,ko,37
1990s,한판,ko_nouns,ko,4
1990s,대동,ko_nouns,ko,3
1990s,녹슨,ko_nouns,ko,1
1990s,철책선,ko_nouns,ko,1
1990s,지뢰,ko_nouns,ko,1
1990s,밭,ko_nouns,ko,2
1990s,해방,ko_nouns,ko,2
1990s,통일,ko_nouns,ko,1
1990s,학교,ko_nouns,ko,18
1990s,가기,ko_nouns,ko,8
1990s,공부,ko_nouns,ko,4
1990s,회사,ko_nouns,ko,4
1990s,장사,ko_nouns,ko,4
1990s,그래그래,ko_nouns,ko,6
1990s,그거,ko_nouns,ko,11
1990s,피,ko_nouns,ko,32
1990s,참사,ko_nouns,ko,5
1990s,마르,ko_nouns,ko,2
1990s,옷차림,ko_nouns,ko,1
1990s,안보,ko_nouns,ko,2
1990s,오늘밤,ko_nouns,ko,20
1990s,나하,ko_nouns,ko,1
1990s,가려진,ko_nouns,ko,9
1990s,풀잎,ko_nouns,ko,3
1990s,친후,ko_nouns,ko,3
1990s,간다,ko_nouns,ko,15
1990s,깜깜,ko_nouns,ko,4
1990s,단둘,ko_nouns,ko,8
1990s,줄기,ko_nouns,ko,5
1990s,비나리,ko_nouns,ko,2
1990s,애,ko_nouns,ko,55
1990s,길목,ko_nouns,ko,3
1990s,작은새,ko_nouns,ko,5
1990s,금방,ko_nouns,ko,4
1990s,오해,ko_nouns,ko,22
1990s,숱,ko_nouns,ko,7
1990s,어차피,ko_nouns,ko,34
1990s,뚜루,ko_nouns,ko,4
1990s,뚜,ko_nouns,ko,6
1990s,루루,ko_nouns,ko,14
1990s,사실,ko_nouns,ko,46
1990s,계단,ko_nouns,ko,4
1990s,미니스커트,ko_nouns,ko,7
1990s,화장,ko_nouns,ko,5
1990s,검정색,ko_nouns,ko,1
1990s,스타킹,ko_nouns,ko,1
1990s,유혹,ko_nouns,ko,12
1990s,헝크,ko_nouns,ko,1
1990s,러져,ko_nouns,ko,1
1990s,관심,ko_nouns,ko,16
1990s,옷,ko_nouns,ko,10
1990s,분전,ko_nouns,ko,1
1990s,거니,ko_nouns,ko,4
1990s,이내,ko_nouns,ko,10
1990s,기만,ko_nouns,ko,5
1990s,빈공간,ko_nouns,ko,5
1990s,잡고,ko_nouns,ko,27
1990s,노랫소리,ko_nouns,ko,4
1990s,냉기,ko_nouns,ko,4
1990s,재채기,ko_nouns,ko,4
1990s,비비,ko_nouns,ko,3
1990s,빼꼼,ko_nouns,ko,2
1990s,삼삼오오,ko_nouns,ko,2
1990s,산책,ko_nouns,ko,3
1990s,오시,ko_nouns,ko,3
1990s,아버지,ko_nouns,ko,11
1990s,효과,ko_nouns,ko,2
1990s,약수,ko_nouns,ko,2
1990s,딸,ko_nouns,ko,3
1990s,딸각,ko_nouns,ko,2
1990s,엉금엉금,ko_nouns,ko,2
1990s,냉수,ko_nouns,ko,2
1990s,게으름,ko_nouns,ko,2
1990s,상큼,ko_nouns,ko,3
1990s,뜸,ko_nouns,ko,3
1990s,냄새,ko_nouns,ko,2
1990s,응석,ko_nouns,ko,4
1990s,숨,ko_nouns,ko,31
1990s,고추잠자리,ko_nouns,ko,2
1990s,덜,ko_nouns,ko,4
1990s,돌기,ko_nouns,ko,2
1990s,비잉비잉,ko_nouns,ko,2
1990s,토닥토닥,ko_nouns,ko,3
1990s,빨래,ko_nouns,ko,2
1990s,동기,ko_nouns,ko,4
1990s,타치,ko_nouns,ko,2
1990s,괘,ko_nouns,ko,3
1990s,종시,ko_nouns,ko,3
1990s,조카,ko_nouns,ko,2
1990s,울음소리,ko_nouns,ko,2
1990s,뜬구름,ko_nouns,ko,2
1990s,이마,ko_nouns,ko,4
1990s,삶,ko_nouns,ko,79
1990s,무척,ko_nouns,ko,9
1990s,여자친구,ko_nouns,ko,4
1990s,졸라,ko_nouns,ko,2
1990s,우정,ko_nouns,ko,8
1990s,밤길,ko_nouns,ko,1
1990s,옆,ko_nouns,ko,30
1990s,한참,ko_nouns,ko,9
1990s,휴식,ko_nouns,ko,8
1990s,해답,ko_nouns,ko,8
1990s,미터,ko_nouns,ko,6
1990s,웃음소리,ko_nouns,ko,1
1990s,방안,ko_nouns,ko,8
1990s,라일락,ko_nouns,ko,3
1990s,적신,ko_nouns,ko,3
1990s,어깰,ko_nouns,ko,6
1990s,마찬가지,ko_nouns,ko,11
1990s,서서히,ko_nouns,ko,3
1990s,서울,ko_nouns,ko,3
1990s,낮선곳,ko_nouns,ko,1
1990s,인간,ko_nouns,ko,4
1990s,가세,ko_nouns,ko,8
1990s,한잔,ko_nouns,ko,6
1990s,살이,ko_nouns,ko,10
1990s,시름,ko_nouns,ko,2
1990s,거품,ko_nouns,ko,8
1990s,뭘,ko_nouns,ko,26
1990s,어쩌려,ko_nouns,ko,4
1990s,책상,ko_nouns,ko,2
1990s,서랍,ko_nouns,ko,4
1990s,십년,ko_nouns,ko,6
1990s,일기,ko_nouns,ko,3
1990s,낱말,ko_nouns,ko,3
1990s,기록,ko_nouns,ko,1
1990s,거미줄,ko_nouns,ko,3
1990s,깜짝,ko_nouns,ko,1
1990s,상상,ko_nouns,ko,19
1990s,후욱,ko_nouns,ko,1
1990s,힙겹다,ko_nouns,ko,1
1990s,우유,ko_nouns,ko,2
1990s,점심,ko_nouns,ko,2
1990s,자동차,ko_nouns,ko,7
1990s,경적,ko_nouns,ko,2
1990s,린,ko_nouns,ko,8
1990s,학생,ko_nouns,ko,2
1990s,악수,ko_nouns,ko,4
1990s,흐릿,ko_nouns,ko,2
1990s,자판기,ko_nouns,ko,2
1990s,커피,ko_nouns,ko,7
1990s,잔,ko_nouns,ko,5
1990s,셔츠,ko_nouns,ko,3
1990s,샐러리맨,ko_nouns,ko,2
1990s,기계,ko_nouns,ko,3
1990s,부속품,ko_nouns,ko,4
1990s,휴대전화,ko_nouns,ko,2
1990s,허리,ko_nouns,ko,5
1990s,삐삐,ko_nouns,ko,5
1990s,차고,ko_nouns,ko,2
1990s,직장,ko_nouns,ko,4
1990s,전쟁,ko_nouns,ko,3
1990s,터,ko_nouns,ko,5
1990s,회색,ko_nouns,ko,13
1990s,의무감,ko_nouns,ko,2
1990s,일과,ko_nouns,ko,5
1990s,설레임,ko_nouns,ko,32
1990s,실증,ko_nouns,ko,9
1990s,주말,ko_nouns,ko,7
1990s,습관,ko_nouns,ko,7
1990s,봉사,ko_nouns,ko,2
1990s,피해,ko_nouns,ko,13
1990s,핑계,ko_nouns,ko,8
1990s,어쨌거,ko_nouns,ko,3
1990s,뒤로,ko_nouns,ko,3
1990s,몸속,ko_nouns,ko,1
1990s,친구여,ko_nouns,ko,8
1990s,글썽,ko_nouns,ko,7
1990s,가장,ko_nouns,ko,15
1990s,주,ko_nouns,ko,7
1990s,바랬,ko_nouns,ko,7
1990s,이쯤,ko_nouns,ko,12
1990s,거릴,ko_nouns,ko,11
1990s,하룻밤,ko_nouns,ko,4
1990s,한겨울,ko_nouns,ko,3
1990s,캔버스,ko_nouns,ko,1
1990s,화난,ko_nouns,ko,2
1990s,차례차례,ko_nouns,ko,2
1990s,사진첩,ko_nouns,ko,5
1990s,감정,ko_nouns,ko,15
1990s,물결,ko_nouns,ko,4
1990s,선물,ko_nouns,ko,21
1990s,보상,ko_nouns,ko,3
1990s,맞이,ko_nouns,ko,12
1990s,된거,ko_nouns,ko,20
1990s,일지,ko_nouns,ko,15
1990s,안부,ko_nouns,ko,6
1990s,시,ko_nouns,ko,3
1990s,양식,ko_nouns,ko,2
1990s,암흑,ko_nouns,ko,2
1990s,다린,ko_nouns,ko,2
1990s,씨앗,ko_nouns,ko,2
1990s,결실,ko_nouns,ko,2
1990s,읊음,ko_nouns,ko,2
1990s,맺혔으,ko_nouns,ko,2
1990s,물이,ko_nouns,ko,2
1990s,진리,ko_nouns,ko,5
1990s,양심,ko_nouns,ko,3
1990s,금문,ko_nouns,ko,2
1990s,이웃,ko_nouns,ko,2
1990s,벗,ko_nouns,ko,2
1990s,가락,ko_nouns,ko,2
1990s,란걸,ko_nouns,ko,3
1990s,핀,ko_nouns,ko,3
1990s,물속,ko_nouns,ko,2
1990s,벨,ko_nouns,ko,3
1990s,수화,ko_nouns,ko,2
1990s,흔적,ko_nouns,ko,22
1990s,노,ko_nouns,ko,5
1990s,교정,ko_nouns,ko,2
1990s,숨바꼭질,ko_nouns,ko,4
1990s,놀이,ko_nouns,ko,4
1990s,후의,ko_nouns,ko,1
1990s,머리칼,ko_nouns,ko,1
1990s,아마,ko_nouns,ko,32
1990s,강철,ko_nouns,ko,1
1990s,노후,ko_nouns,ko,3
1990s,연금,ko_nouns,ko,3
1990s,사회보장,ko_nouns,ko,3
1990s,해변,ko_nouns,ko,4
1990s,목요일,ko_nouns,ko,1
1990s,금요일,ko_nouns,ko,1
1990s,귀걸이,ko_nouns,ko,1
1990s,생일,ko_nouns,ko,10
1990s,전화번호,ko_nouns,ko,2
1990s,번호,ko_nouns,ko,2
1990s,왼쪽,ko_nouns,ko,2
1990s,오른쪽,ko_nouns,ko,2
1990s,호선,ko_nouns,ko,2
1990s,미처,ko_nouns,ko,4
1990s,한강,ko_nouns,ko,1
1990s,인도교,ko_nouns,ko,1
1990s,아치,ko_nouns,ko,1
1990s,개인,ko_nouns,ko,1
1990s,일곱개,ko_nouns,ko,1
1990s,달,ko_nouns,ko,16
1990s,초생달,ko_nouns,ko,1
1990s,보름달,ko_nouns,ko,1
1990s,우리동네,ko_nouns,ko,2
1990s,목욕탕,ko_nouns,ko,2
1990s,정기,ko_nouns,ko,2
1990s,휴일,ko_nouns,ko,5
1990s,첫째,ko_nouns,ko,1
1990s,수요일,ko_nouns,ko,2
1990s,둘째,ko_nouns,ko,1
1990s,넷째,ko_nouns,ko,1
1990s,새끼손가락,ko_nouns,ko,2
1990s,매니,ko_nouns,ko,1
1990s,큐얼,ko_nouns,ko,1
1990s,봉숭아,ko_nouns,ko,1
1990s,설탕,ko_nouns,ko,3
1990s,스푼,ko_nouns,ko,2
1990s,프림,ko_nouns,ko,2
1990s,보물섬,ko_nouns,ko,1
1990s,해적선,ko_nouns,ko,1
1990s,애꾸눈,ko_nouns,ko,1
1990s,잭,ko_nouns,ko,1
1990s,안대,ko_nouns,ko,1
1990s,만화,ko_nouns,ko,1
1990s,영심,ko_nouns,ko,1
1990s,남학생,ko_nouns,ko,1
1990s,안경,ko_nouns,ko,3
1990s,고깃집,ko_nouns,ko,1
1990s,쌈,ko_nouns,ko,1
1990s,쌈장,ko_nouns,ko,2
1990s,고기,ko_nouns,ko,2
1990s,로움,ko_nouns,ko,6
1990s,능력,ko_nouns,ko,10
1990s,장갑,ko_nouns,ko,4
1990s,분홍색,ko_nouns,ko,1
1990s,벙어리,ko_nouns,ko,1
1990s,손가락,ko_nouns,ko,2
1990s,준날,ko_nouns,ko,1
1990s,정류장,ko_nouns,ko,1
1990s,목포,ko_nouns,ko,1
1990s,빈대떡,ko_nouns,ko,1
1990s,산지,ko_nouns,ko,1
1990s,가치,ko_nouns,ko,5
1990s,기준,ko_nouns,ko,4
1990s,팽개,ko_nouns,ko,1
1990s,플라스틱,ko_nouns,ko,2
1990s,풍선,ko_nouns,ko,5
1990s,도안,ko_nouns,ko,8
1990s,몫,ko_nouns,ko,27
1990s,마련,ko_nouns,ko,11
1990s,반복,ko_nouns,ko,11
1990s,선택,ko_nouns,ko,23
1990s,함,ko_nouns,ko,14
1990s,말위,ko_nouns,ko,1
1990s,공해,ko_nouns,ko,1
1990s,치,ko_nouns,ko,31
1990s,실천,ko_nouns,ko,1
1990s,빈소,ko_nouns,ko,1
1990s,리만,ko_nouns,ko,1
1990s,대지,ko_nouns,ko,5
1990s,실수,ko_nouns,ko,20
1990s,걸음,ko_nouns,ko,17
1990s,인연,ko_nouns,ko,23
1990s,가시,ko_nouns,ko,2
1990s,선홍빛,ko_nouns,ko,2
1990s,마중,ko_nouns,ko,2
1990s,진무,ko_nouns,ko,2
1990s,러진,ko_nouns,ko,2
1990s,하늘가,ko_nouns,ko,2
1990s,손수,ko_nouns,ko,2
1990s,장난,ko_nouns,ko,16
1990s,대체,ko_nouns,ko,5
1990s,바라지,ko_nouns,ko,12
1990s,바이올린,ko_nouns,ko,2
1990s,빈방,ko_nouns,ko,1
1990s,녘,ko_nouns,ko,3
1990s,제비꽃,ko_nouns,ko,1
1990s,던,ko_nouns,ko,6
1990s,강,ko_nouns,ko,12
1990s,굽이,ko_nouns,ko,1
1990s,몇번,ko_nouns,ko,10
1990s,앞길,ko_nouns,ko,8
1990s,얼,ko_nouns,ko,6
1990s,낯,ko_nouns,ko,10
1990s,무심코,ko_nouns,ko,2
1990s,일기도,ko_nouns,ko,5
1990s,질문,ko_nouns,ko,6
1990s,한치,ko_nouns,ko,5
1990s,거지,ko_nouns,ko,14
1990s,음음음,ko_nouns,ko,2
1990s,산다,ko_nouns,ko,16
1990s,수지,ko_nouns,ko,2
1990s,알몸,ko_nouns,ko,2
1990s,헛짚는,ko_nouns,ko,2
1990s,인생살이,ko_nouns,ko,2
1990s,한세상,ko_nouns,ko,2
1990s,덤,ko_nouns,ko,2
1990s,화가,ko_nouns,ko,16
1990s,표현,ko_nouns,ko,22
1990s,외,ko_nouns,ko,7
1990s,네겐,ko_nouns,ko,10
1990s,유일,ko_nouns,ko,3
1990s,조명,ko_nouns,ko,7
1990s,흐트러진,ko_nouns,ko,6
1990s,취해,ko_nouns,ko,16
1990s,비틀,ko_nouns,ko,3
1990s,슬뜰르,ko_nouns,ko,2
1990s,차림,ko_nouns,ko,2
1990s,변화,ko_nouns,ko,7
1990s,열기,ko_nouns,ko,2
1990s,무질서,ko_nouns,ko,4
1990s,공간,ko_nouns,ko,10
1990s,등뒤,ko_nouns,ko,4
1990s,불때,ko_nouns,ko,2
1990s,대신,ko_nouns,ko,29
1990s,짐,ko_nouns,ko,19
1990s,취했,ko_nouns,ko,1
1990s,허공,ko_nouns,ko,1
1990s,식,ko_nouns,ko,4
1990s,몸짓,ko_nouns,ko,10
1990s,내기억,ko_nouns,ko,2
1990s,려고,ko_nouns,ko,11
1990s,조심,ko_nouns,ko,7
1990s,투,ko_nouns,ko,7
1990s,정부,ko_nouns,ko,1
1990s,리,ko_nouns,ko,7
1990s,풀이,ko_nouns,ko,1
1990s,작고,ko_nouns,ko,12
1990s,토라,ko_nouns,ko,7
1990s,꽃다발,ko_nouns,ko,2
1990s,밑,ko_nouns,ko,10
1990s,옛사랑,ko_nouns,ko,4
1990s,이나,ko_nouns,ko,3
1990s,들판,ko_nouns,ko,3
1990s,광화문,ko_nouns,ko,1
1990s,하늘높이,ko_nouns,ko,1
1990s,이란,ko_nouns,ko,8
1990s,봄날,ko_nouns,ko,1
1990s,잎새,ko_nouns,ko,5
1990s,장위,ko_nouns,ko,1
1990s,날로,ko_nouns,ko,3
1990s,낙서,ko_nouns,ko,3
1990s,백발,ko_nouns,ko,1
1990s,사흘,ko_nouns,ko,1
1990s,는걸,ko_nouns,ko,22
1990s,연인,ko_nouns,ko,58
1990s,꽃처럼,ko_nouns,ko,8
1990s,대보,ko_nouns,ko,2
1990s,제일,ko_nouns,ko,14
1990s,까페,ko_nouns,ko,1
1990s,소린,ko_nouns,ko,4
1990s,결코,ko_nouns,ko,8
1990s,장소,ko_nouns,ko,1
1990s,진짜,ko_nouns,ko,66
1990s,큰소리,ko_nouns,ko,1
1990s,상모,ko_nouns,ko,2
1990s,꼬깃,ko_nouns,ko,1
1990s,해진,ko_nouns,ko,1
1990s,한순간,ko_nouns,ko,11
1990s,글자,ko_nouns,ko,4
1990s,자국,ko_nouns,ko,7
1990s,갑자기,ko_nouns,ko,15
1990s,웨딩드레스,ko_nouns,ko,3
1990s,부케,ko_nouns,ko,2
1990s,부모님,ko_nouns,ko,9
1990s,말씀,ko_nouns,ko,4
1990s,우릴,ko_nouns,ko,45
1990s,갈라,ko_nouns,ko,5
1990s,놀,ko_nouns,ko,4
1990s,손짓,ko_nouns,ko,18
1990s,전해,ko_nouns,ko,5
1990s,애인,ko_nouns,ko,27
1990s,축제,ko_nouns,ko,4
1990s,무도회,ko_nouns,ko,3
1990s,오오오오이,ko_nouns,ko,1
1990s,책임,ko_nouns,ko,8
1990s,허위,ko_nouns,ko,2
1990s,갈건,ko_nouns,ko,4
1990s,낙비,ko_nouns,ko,1
1990s,갈대,ko_nouns,ko,1
1990s,항로,ko_nouns,ko,1
1990s,정처,ko_nouns,ko,1
1990s,달님이,ko_nouns,ko,1
1990s,방긋,ko_nouns,ko,1
1990s,윈도우,ko_nouns,ko,1
1990s,사라,ko_nouns,ko,15
1990s,와인,ko_nouns,ko,2
1990s,머플러,ko_nouns,ko,2
1990s,외투,ko_nouns,ko,4
1990s,풀,ko_nouns,ko,5
1990s,엮었어,ko_nouns,ko,2
1990s,꽃송이,ko_nouns,ko,4
1990s,냇가,ko_nouns,ko,4
1990s,고무신,ko_nouns,ko,4
1990s,냇물,ko_nouns,ko,14
1990s,징검,ko_nouns,ko,4
1990s,분홍,ko_nouns,ko,4
1990s,달이,ko_nouns,ko,25
1990s,산골,ko_nouns,ko,6
1990s,소년,ko_nouns,ko,11
1990s,엮었더,ko_nouns,ko,2
1990s,흐,ko_nouns,ko,8
1990s,햇빛,ko_nouns,ko,5
1990s,훌훌,ko_nouns,ko,1
1990s,환영,ko_nouns,ko,1
1990s,우두커니,ko_nouns,ko,5
1990s,퉁기,ko_nouns,ko,4
1990s,괜시리,ko_nouns,ko,6
1990s,청해,ko_nouns,ko,3
1990s,어쩜,ko_nouns,ko,20
1990s,형,ko_nouns,ko,4
1990s,양보,ko_nouns,ko,7
1990s,역시,ko_nouns,ko,30
1990s,훗날,ko_nouns,ko,25
1990s,임,ko_nouns,ko,10
1990s,존재,ko_nouns,ko,21
1990s,반쪽,ko_nouns,ko,8
1990s,띤,ko_nouns,ko,2
1990s,주어,ko_nouns,ko,5
1990s,머무룰순,ko_nouns,ko,2
1990s,면서,ko_nouns,ko,3
1990s,어려움,ko_nouns,ko,20
1990s,내면,ko_nouns,ko,1
1990s,수만,ko_nouns,ko,15
1990s,밤안개,ko_nouns,ko,1
1990s,로만,ko_nouns,ko,10
1990s,회상,ko_nouns,ko,6
1990s,샘,ko_nouns,ko,4
1990s,불꽃,ko_nouns,ko,6
1990s,아트리,ko_nouns,ko,4
1990s,섬,ko_nouns,ko,5
1990s,기슭,ko_nouns,ko,2
1990s,깃,ko_nouns,ko,2
1990s,화살,ko_nouns,ko,5
1990s,꽃상여,ko_nouns,ko,2
1990s,통곡,ko_nouns,ko,2
1990s,배반,ko_nouns,ko,2
1990s,언약,ko_nouns,ko,2
1990s,불멸,ko_nouns,ko,4
1990s,순종,ko_nouns,ko,4
1990s,매일,ko_nouns,ko,57
1990s,골치,ko_nouns,ko,1
1990s,초점,ko_nouns,ko,1
1990s,시선,ko_nouns,ko,18
1990s,무늬,ko_nouns,ko,4
1990s,팬티,ko_nouns,ko,4
1990s,용서,ko_nouns,ko,65
1990s,하늘빛,ko_nouns,ko,2
1990s,밀고,ko_nouns,ko,2
1990s,절실,ko_nouns,ko,6
1990s,빛과,ko_nouns,ko,1
1990s,바랜,ko_nouns,ko,2
1990s,만,ko_nouns,ko,25
1990s,연,ko_nouns,ko,6
1990s,겉모습,ko_nouns,ko,7
1990s,대하,ko_nouns,ko,5
1990s,상관,ko_nouns,ko,15
1990s,부탁,ko_nouns,ko,20
1990s,좌절,ko_nouns,ko,5
1990s,미로,ko_nouns,ko,2
1990s,충고,ko_nouns,ko,4
1990s,상사,ko_nouns,ko,2
1990s,강요,ko_nouns,ko,6
1990s,부담,ko_nouns,ko,18
1990s,의무,ko_nouns,ko,1
1990s,겨,ko_nouns,ko,2
1990s,볼때,ko_nouns,ko,5
1990s,부풀,ko_nouns,ko,2
1990s,정성,ko_nouns,ko,3
1990s,대해,ko_nouns,ko,9
1990s,계속,ko_nouns,ko,26
1990s,소개,ko_nouns,ko,11
1990s,남자친구,ko_nouns,ko,9
1990s,별로,ko_nouns,ko,5
1990s,콧대,ko_nouns,ko,3
1990s,세고,ko_nouns,ko,2
1990s,젤,ko_nouns,ko,2
1990s,훼방,ko_nouns,ko,2
1990s,강위,ko_nouns,ko,1
1990s,다발,ko_nouns,ko,6
1990s,첫인상,ko_nouns,ko,2
1990s,송이,ko_nouns,ko,6
1990s,탁자,ko_nouns,ko,2
1990s,당황,ko_nouns,ko,7
1990s,법,ko_nouns,ko,12
1990s,알때,ko_nouns,ko,3
1990s,설때,ko_nouns,ko,1
1990s,외출,ko_nouns,ko,2
1990s,절반,ko_nouns,ko,2
1990s,우산도,ko_nouns,ko,2
1990s,정다웠던,ko_nouns,ko,1
1990s,면,ko_nouns,ko,13
1990s,대안,ko_nouns,ko,3
1990s,파티,ko_nouns,ko,4
1990s,하필,ko_nouns,ko,4
1990s,택했는,ko_nouns,ko,1
1990s,최대,ko_nouns,ko,1
1990s,모욕,ko_nouns,ko,1
1990s,이제야,ko_nouns,ko,37
1990s,빨,ko_nouns,ko,4
1990s,년도,ko_nouns,ko,1
1990s,아라비안,ko_nouns,ko,2
1990s,나이트,ko_nouns,ko,2
1990s,야오,ko_nouns,ko,8
1990s,오예,ko_nouns,ko,4
1990s,태양,ko_nouns,ko,31
1990s,사하라,ko_nouns,ko,1
1990s,주문,ko_nouns,ko,15
1990s,그누,ko_nouns,ko,1
1990s,나로,ko_nouns,ko,5
1990s,비행기,ko_nouns,ko,3
1990s,바다로,ko_nouns,ko,12
1990s,이다지,ko_nouns,ko,2
1990s,일부,ko_nouns,ko,2
1990s,끈,ko_nouns,ko,2
1990s,작사,ko_nouns,ko,1
1990s,작곡,ko_nouns,ko,1
1990s,정석원,ko_nouns,ko,1
1990s,벽속,ko_nouns,ko,2
1990s,먼동,ko_nouns,ko,2
1990s,가로수,ko_nouns,ko,3
1990s,누비,ko_nouns,ko,4
1990s,파트라,ko_nouns,ko,11
1990s,슈,ko_nouns,ko,11
1990s,디리럼,ko_nouns,ko,11
1990s,디럼,ko_nouns,ko,11
1990s,디러럼,ko_nouns,ko,11
1990s,확신,ko_nouns,ko,2
1990s,깨,ko_nouns,ko,17
1990s,체념,ko_nouns,ko,2
1990s,영문,ko_nouns,ko,2
1990s,진심,ko_nouns,ko,7
1990s,부디,ko_nouns,ko,17
1990s,주저,ko_nouns,ko,12
1990s,아침햇살,ko_nouns,ko,3
1990s,바랬던,ko_nouns,ko,2
1990s,택한거,ko_nouns,ko,3
1990s,챗,ko_nouns,ko,3
1990s,바퀴,ko_nouns,ko,5
1990s,없쟎,ko_nouns,ko,1
1990s,수록,ko_nouns,ko,7
1990s,튀어,ko_nouns,ko,1
1990s,오른,ko_nouns,ko,1
1990s,칼날,ko_nouns,ko,2
1990s,디어,ko_nouns,ko,1
